Pais;Costo de Vida;Ranking Global;Datos Disponibles;Continente
Ethiopia;51.03;138;2017 - 2017;Africa
Rwanda;50.63;139;2017 - 2017;Africa
Mali;50.55;140;2017 - 2017;Africa
Guinea;50.48;141;2017 - 2017;Africa
Vietnam;50.03;142;2017 - 2017;Asia
Mauritania;49.9;143;2017 - 2017;Africa
Armenia;49.68;144;2017 - 2017;Asia
Mozambique;49.57;145;2017 - 2017;Africa
Moldova;49.48;146;2017 - 2017;Europe
Algeria;49.36;147;2017 - 2017;Africa
Burkina Faso;49.19;148;2017 - 2017;Africa
Tanzania;48.53;149;2017 - 2017;Africa
Uganda;48.47;150;2017 - 2017;Africa
Malawi;47.49;151;2017 - 2017;Africa
Gambia;46.48;152;2017 - 2017;Africa
Belarus;45.75;153;2017 - 2017;Europe
Pakistan;45.2;154;2017 - 2017;Asia
Bhutan;45.07;155;2017 - 2017;Asia
Madagascar;44.3;156;2017 - 2017;Africa
Tunisia;43.98;157;2017 - 2017;Africa
Tajikistan;43.51;158;2017 - 2017;Asia
India;42.86;159;2017 - 2017;Asia
Nepal;41.85;160;2017 - 2017;Asia
Sierra Leone;41.32;161;2017 - 2017;Africa
Burma;41.08;162;2017 - 2017;Asia
Azerbaijan;40.56;163;2017 - 2017;Asia
Kyrgyzstan;40.38;164;2017 - 2017;Asia
Sudan;38.29;165;2017 - 2017;Africa
Ukraine;37.76;166;2017 - 2017;Europe
Egypt;27.37;167;2017 - 2017;Africa
